ID,story,I,N,V,E,S,T
36,"As a developer, I want to implement Bootstrap, So the UI framework is done. Acceptance Criteria: - Install Bootstrap. - Use components. - Make responsive. - Add CSS. - Test it.",0,0,0,0,0,0
37,"As a shop owner, I want lots of data storage, So nothing is lost. Acceptance Criteria: - Store everything. - Don't lose data. - Save to cloud. - Backup sometimes. - Keep forever maybe.",0,0,0,0,0,0
38,"As the database consultant, I want to handle all the data efficiently, So the system works. Acceptance Criteria: - Fast queries. - No crashes. - Good performance. - Handle load.  - Scale when needed. ",0,0,0,0,0,0
39,"As a security-conscious person,I want the system to be totally secure, So hackers can't hack it. Acceptance Criteria: - Make it secure. - Use encryption. - Add passwords. - Prevent bad guys. - Stop attacks.",0,0,0,0,0,0
40,"As a user, I want everything to work perfectly all the time, Because that's what I expect. Acceptance Criteria: - No bugs. - Works 24/7. - Never crashes. - Always fast. - Zero problems.",0,0,0,0,0,0
41,"As everyone in the shop, I want the system to work great all the time, So that there are no problems. Acceptance Criteria: - Works perfectly - No errors ever - Handles everything - Always fast - Users are happy - Better than old system",0,0,0,0,0,0
42,"As a mechanic, I want to do diagnostic work, So I can fix cars. Acceptance Criteria: - Connect to any car - Show all possible data - Fix any problem - Print something - Save somewhere",0,0,0,0,0,0
43,"As a mechanic, I want to print the diagnostic report, So I can give it to customers. Acceptance Criteria: - After scanning the vehicle and saving the data - And after generating the PDF report - And after configuring the printer settings - And after setting up  the email system - Then print the report",0,1,1,0,0,0
44,"As a shop owner, I want to analyze monthly diagnostic trends, So I can order inventory.  Acceptance Criteria: - After all mechanics input their daily reports - And after the reporting system is implemented - And after data synchronization is working - Then show monthly trends",0,1,1,0,0,0
45,"As a mechanic, I want the system to use MongoDB with a Redis cache and React frontend with Redux state management, so that data loads fast.  Acceptance Criteria: - Implement MongoDB version 5.0 - Set up Redis cache with 2GB allocation - Use React 18 with Redux Toolkit - Configure Nginx as reverse proxy - Deploy on AWS EC2 t2.medium instance",1,0,0,0,0,1
46,"As a developer, I want to refactor the database schema, so the code is cleaner.  Accept1ance Criteria: - Normalize tables to 3NF - Update all queries - Migrate existing data - Update documentation - Run performance tests",1,0,0,0,0,0
47,"As a user, I want the system to handle lots of vehicles, So it never slows down. Acceptance Criteria: - Should work with many cars - Must be really fast - Handle whatever the database size becomes - Work during busy times - Don't crash",0,1,0,0,0,0
48,"As a shop owner, I want a complete vehicle service management system, so that I can run my business.  Acceptance Criteria: - Manage customer information - Handle all diagnostics  - Process payments - Generate reports - Manage inventory - Schedule appointments - Track employee time - Handle accounting - Manage marketing - Everything else a shop needs",0,1,1,0,0,0
49,"As a mechanic, I want a user-friendly interface, so that it's easy to use.  Acceptance Criteria: - Should look professional - Must be intuitive  - Better than competitor's interface - Users should like it - Make it modern",0,0,0,0,0,0
50,"As a system administrator, I want to implement the new security protocol using SHA-256 encryption with AWS KMS integration and OAuth2 authentication flow, So that the system is secure.  Acceptance Criteria: - Use specific technical implementation - Must follow exact architecture - No flexibility in solution - Must use specified vendors - Must use listed technologies",1,0,1,0,0,0
51,"As a customer, I want to track my order status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
52,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
53,"As a returning customer, I want to see my past orders so that I can quickly reorder items I liked. acceptance criteria: - Display list of past orders. - Allow direct reorder from order history.",1,1,1,1,1,1
54,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
55,"As a customer, I want to add items to a wishlist so that I can purchase them later. acceptance criteria: - Ability to add/remove products to wishlist. - Wishlist persists across sessions.",1,1,1,1,1,1
56,"As a customer, I want to track my order status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
57,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
58,"As a returning customer, I want to see my past orders so that I can quickly reorder items I liked. acceptance criteria: - Display list of past orders. - Allow direct reorder from order history.",1,1,1,1,1,1
59,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
60,"As a customer, I want to add items to a wishlist so that I can purchase them later. acceptance criteria: - Ability to add/remove products to wishlist. - Wishlist persists across sessions.",1,1,1,1,1,1
61,"As a customer, I want to track my purchase status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
62,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
63,"As a returning customer, I want to see my past purchases so that I can quickly repurchase items I liked. acceptance criteria: - Display list of past purchases. - Allow direct repurchase from purchase history.",1,1,1,1,1,1
64,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
65,"As a customer, I want to add items to a favorites so that I can purchase them later. acceptance criteria: - Ability to add/remove products to favorites. - Wishlist persists across sessions.",1,1,1,1,1,1
66,"As a customer, I want to track my order status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
67,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
68,"As a returning customer, I want to see my past orders so that I can quickly reorder items I liked. acceptance criteria: - Display list of past orders. - Allow direct reorder from order history.",1,1,1,1,1,1
69,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
70,"As a customer, I want to add items to a wishlist so that I can purchase them later. acceptance criteria: - Ability to add/remove products to wishlist. - Wishlist persists across sessions.",1,1,1,1,1,1
71,"As a customer, I want to track my purchase status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
72,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
73,"As a returning customer, I want to see my past purchases so that I can quickly repurchase items I liked. acceptance criteria: - Display list of past purchases. - Allow direct repurchase from purchase history.",1,1,1,1,1,1
74,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
75,"As a customer, I want to add items to a favorites so that I can purchase them later. acceptance criteria: - Ability to add/remove products to favorites. - Wishlist persists across sessions.",1,1,1,1,1,1
76,"As a customer, I want to track my order status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
77,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
78,"As a returning customer, I want to see my past orders so that I can quickly reorder items I liked. acceptance criteria: - Display list of past orders. - Allow direct reorder from order history.",1,1,1,1,1,1
79,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
80,"As a customer, I want to add items to a wishlist so that I can purchase them later. acceptance criteria: - Ability to add/remove products to wishlist. - Wishlist persists across sessions.",1,1,1,1,1,1
81,"As a customer, I want to track my purchase status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
82,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
83,"As a returning customer, I want to see my past purchases so that I can quickly repurchase items I liked. acceptance criteria: - Display list of past purchases. - Allow direct repurchase from purchase history.",1,1,1,1,1,1
84,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
85,"As a customer, I want to add items to a favorites so that I can purchase them later. acceptance criteria: - Ability to add/remove products to favorites. - Wishlist persists across sessions.",1,1,1,1,1,1
86,"As a customer, I want to track my order status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
87,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
88,"As a returning customer, I want to see my past orders so that I can quickly reorder items I liked. acceptance criteria: - Display list of past orders. - Allow direct reorder from order history.",1,1,1,1,1,1
89,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
90,"As a customer, I want to add items to a wishlist so that I can purchase them later. acceptance criteria: - Ability to add/remove products to wishlist. - Wishlist persists across sessions.",1,1,1,1,1,1
91,"As a customer, I want to track my purchase status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
92,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
93,"As a returning customer, I want to see my past purchases so that I can quickly repurchase items I liked. acceptance criteria: - Display list of past purchases. - Allow direct repurchase from purchase history.",1,1,1,1,1,1
94,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
95,"As a customer, I want to add items to a favorites so that I can purchase them later. acceptance criteria: - Ability to add/remove products to favorites. - Wishlist persists across sessions.",1,1,1,1,1,1
96,"As a customer, I want to track my order status online so that I can know when it will arrive. acceptance criteria: - Order status should update in real-time. - Customers receive notifications on status changes.",1,1,1,1,1,1
97,"As a shopper, I want to filter products by price range so that I can find items within my budget. acceptance criteria: - Filter should allow setting minimum and maximum price. - Results update immediately after applying filter.",1,1,1,1,1,1
98,"As a returning customer, I want to see my past orders so that I can quickly reorder items I liked. acceptance criteria: - Display list of past orders. - Allow direct reorder from order history.",1,1,1,1,1,1
99,"As a user, I want to reset my password if I forget it so that I can regain access to my account. acceptance criteria: - Password reset link sent via email. - Link expires after a set time.",1,1,1,1,1,1
100,"As a customer, I want to add items to a wishlist so that I can purchase them later. acceptance criteria: - Ability to add/remove products to wishlist. - Wishlist persists across sessions.",1,1,1,1,1,1
101,Test,0,0,0,0,0,0
102,Hello,0,0,0,0,0,0
103,Hallo,0,0,0,0,0,0
104,Testing ,0,0,0,0,0,0
105,lorem ipsum,0,0,0,0,0,0
106,Text,0,0,0,0,0,0
107,What are you doing?,0,0,0,0,0,0
108,Where are you going?,0,0,0,0,0,0
109,What is your name?,0,0,0,0,0,0
110,Are you married?,0,0,0,0,0,0
111,"I am going for shopping, are you coming with!",0,0,0,0,0,0
112,Do you like to drink something?,0,0,0,0,0,0
113,How was the day today,0,0,0,0,0,0
114,Do you like me,0,0,0,0,0,0
115,I like you,0,0,0,0,0,0
116,Today is a good day,0,0,0,0,0,0
117,How is everything,0,0,0,0,0,0
118,what is today,0,0,0,0,0,0
119,are you coming,0,0,0,0,0,0
120,let me digest it,0,0,0,0,0,0
121,This city is beautiful ,0,0,0,0,0,0
122,life is fun,0,0,0,0,0,0
123,His statuesque physique makes him a natural for modeling.,0,0,0,0,0,0
124,Acceptance Criteria,0,0,0,0,0,0
